kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Gedser,1290,78,27,25,22,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1600
3. VORDINGBORG,2521,222,28,24,18,0,0,2,0,0,0,0,0,0,3,0,1,0,4,2,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2912
Vordingborg,859,61,13,10,6,0,1,1,1,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1096
Masnedsund,29292,2149,351,314,256,11,2,13,3,0,3,6,0,0,3,0,17,0,37,18,4,3,0,4,6,0,0,0,0,2,0,12,0,0,0,1,6,1,4,0,35670
Nyråd,3428,264,50,46,39,2,0,1,1,0,1,1,0,0,0,0,1,0,4,0,0,1,0,1,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4307
Bårse,2724,202,38,36,23,0,0,5,0,0,0,2,0,0,0,0,6,0,2,0,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3315
Lundby,1984,147,14,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2283
Ørslev,1695,76,27,23,21,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2080
Stege,769,54,15,13,9,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,929
Østmøn,2370,135,29,27,24,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2964
Vestmøn,1318,57,12,12,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1626
Bogø,3552,337,43,36,30,0,0,1,2,0,1,0,0,0,1,0,1,0,7,6,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4428
Præstø,1046,108,13,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1268
Allerslev,1484,112,27,25,24,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,1771
Jungshoved,830,56,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,958
Mern,2774,273,33,29,25,0,0,0,0,0,0,1,0,0,1,0,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3443
Kalvehave,801,48,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,949
Stensved,554,32,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,631
4. NÆSTVED,1206,62,15,12,10,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1483
Fuglebjerg,1407,112,14,14,8,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1686
Everdrup,1350,74,10,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1549
Grønbro Hallen,51690,3718,513,454,364,20,3,22,3,0,6,8,0,0,5,9,11,3,59,19,5,4,5,5,11,7,1,0,0,2,0,26,2,0,0,4,6,0,14,0,62805
Fladså Hallen,2757,159,31,28,21,1,0,4,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,3432
Tybjerg,667,37,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,800
Tappernøje,1275,66,15,15,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1605
Hammer - Vester Egesborg,1711,101,12,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1979
Fensmark,625,28,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,725
Holme-Olstrup,1632,84,18,17,15,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,1938
Toksværd,1041,33,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1255
Glumsø,3232,217,34,31,30,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3776
Skelby,977,50,16,15,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1124
Herlufmagle,1051,50,14,12,9,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1271
