kreds,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer,antal vælgere
Tullebølle,1656,73,22,20,16,1,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1976
Lejbølle,1867,117,15,14,12,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2161
Hou,818,36,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,948
8. FAABORG,1007,56,17,16,12,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1205
Allested-Vejle,916,55,11,10,7,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1129
Brobyværk,1205,96,11,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1412
Nørre Broby,603,40,7,7,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,766
Vester Hæsinge,1069,49,15,14,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1325
Avernakø,718,51,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,917
Faaborg,3368,249,38,35,29,1,0,0,0,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,4158
Horne,126,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,139
Korinth,1163,84,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1427
Lyø,420,37,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,504
Svanninge,740,39,8,8,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,893
Vester Aaby,36645,2170,428,391,326,20,1,4,5,2,7,5,1,0,3,3,10,4,37,15,4,4,0,2,5,1,0,0,1,5,0,15,1,0,0,6,5,0,3,0,43965
Espe,1069,40,13,12,10,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1228
Hillerslev,831,45,12,10,7,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,..,..,..,..,..,..,..,..,..,1070
Ringe,1291,37,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1536
Søllinge,650,24,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,808
Gislev,77,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,84
Kværndrup,5283,400,62,50,34,10,0,0,0,0,0,0,0,0,0,0,6,0,12,4,3,1,0,1,1,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,6437
Ryslinge,1333,63,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1545
Nr. Lyndelse,1249,63,20,20,16,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1552
Ferritslev,62,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,81
Årslev,1438,85,14,14,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1674
Marstal,1144,66,11,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1370
Ærøskøbing,918,31,10,10,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1098
Søby,860,29,11,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1080
SYDJYLLANDS STORKREDS,4903,310,56,52,45,1,0,1,0,0,0,2,0,0,0,0,3,0,4,2,0,1,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,5890
1. SØNDERBORG,700,27,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,842
Nordborg,1288,75,13,11,9,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1591
Havnbjerg,1403,47,21,21,15,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1806
Egen,1523,63,20,20,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1778
Fynshav,2391,129,33,31,25,0,0,0,0,0,4,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2774
Augustenborg,1243,58,13,13,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1454
Hørup,2969,114,33,29,27,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3372
Sydals,1883,233,24,21,19,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2312
Kegnæs,1429,168,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1707
"Humlehøj, Sønderborg",708,56,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,876
"Sønderskov, Sønderborg",434924,27425,5381,4819,3819,290,41,203,35,0,63,38,3,0,68,30,192,37,562,194,52,42,16,39,100,54,6,8,0,45,6,197,38,7,2,31,80,1,38,0,528108
"Det gamle bibliotek, Sønderbor",44878,2715,588,535,407,33,7,22,1,0,5,1,1,0,9,9,24,16,53,13,4,5,2,9,11,6,0,0,0,3,0,9,1,0,1,0,2,0,5,0,54724
Dybbøl,3428,175,45,41,31,0,2,6,0,0,0,0,1,0,0,0,0,1,4,0,1,0,1,2,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4339
Vester Sottrup,1605,56,27,27,23,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2033
Ullerup,2241,78,40,38,27,7,0,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2724
Broager,1557,57,24,23,12,0,0,0,0,0,1,0,0,0,1,0,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1892
Gråsten,2416,133,33,28,21,0,0,2,0,0,0,0,0,0,0,1,4,0,5,1,0,0,0,2,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2942
Kværs,2188,176,19,17,14,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2501
2. AABENRAA,1534,82,18,18,12,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1882
Hovslund,340,18,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,397
Hellevad,5170,311,58,49,32,6,1,1,0,0,0,0,0,0,4,1,4,0,9,1,0,1,0,0,2,2,0,0,0,3,0,..,..,..,..,..,..,..,..,..,6323
Rødekro,4392,287,58,52,43,4,0,3,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,3,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5562
Løjt,4526,438,69,63,44,4,1,3,0,0,0,0,0,0,0,3,5,3,6,2,1,0,0,1,0,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5745
Hjordkær,3954,260,52,49,41,4,0,0,0,0,1,0,0,0,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4526
Ravsted,2070,98,25,20,17,2,0,0,0,0,0,0,0,0,0,1,0,0,5,1,2,1,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2390
Bolderslev,1125,45,17,17,11,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1352
Ensted,2914,160,39,38,33,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3451
Felsted,4877,330,47,40,32,3,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,1,0,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6001
Varnæs,541,11,12,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,664
Bylderup,34337,1947,391,366,281,26,0,25,1,0,5,0,0,0,3,4,17,4,25,9,3,2,2,3,3,0,0,1,0,2,0,5,0,0,1,4,0,0,0,0,42395
Tinglev,526,26,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,631
Kliplev,536,14,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,647
Kruså,4250,250,47,43,34,2,0,3,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,5189
Padborg,2815,142,28,25,18,4,0,1,1,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3338
Aabenraa Midt,1215,43,5,5,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1413
Aabenraa Syd,529,16,11,11,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,663
Aabenraa Nord,1288,54,16,14,13,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1619
3. TØNDER,1476,80,18,17,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1742
Bredebro,1327,42,14,13,7,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1607
Ballum,750,28,9,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,908
Visby,1412,63,25,24,19,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,1829
Højer,1918,78,20,19,14,0,0,3,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2503
Sdr. Sejerslev,1325,61,12,12,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1634
Møgeltønder,2351,143,25,22,15,2,0,0,0,0,0,0,0,0,1,2,0,2,3,0,0,1,0,1,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2893
Løgumkloster,2721,202,36,34,22,3,0,1,0,0,1,0,0,0,1,0,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3509
Nr. Løgum,5789,394,67,62,51,1,0,5,0,0,0,0,0,0,1,1,3,0,5,4,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,7180
Bedsted,2442,175,27,26,20,2,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2974
Øster Højst,1667,136,18,18,14,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2116
Agerskov,22105,1256,339,282,217,25,7,11,4,0,2,1,0,0,5,3,6,1,57,19,2,1,0,2,5,8,0,0,0,18,2,12,4,0,0,1,5,0,2,0,27690
Arrild,1105,66,31,10,8,1,0,0,0,0,0,1,0,0,0,0,0,0,21,6,1,0,0,0,1,1,0,0,0,12,0,..,..,..,..,..,..,..,..,..,1402
Branderup,422,31,6,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,529
Døstrup,330,7,5,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,412
Toftlund,1037,61,20,15,13,0,0,0,0,0,1,0,0,0,1,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1302
Brøns,328,8,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,409
Tønder,742,52,9,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,852
Abild,1985,123,23,20,16,0,2,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2499
Hostrup,777,33,10,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,992
Rømø,453,26,11,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,..,..,..,..,..,..,..,..,..,569
Skærbæk,521,10,13,12,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,662
Vodder,1235,58,16,15,9,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1510
4. ESBJERG BY,457,31,9,9,5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,531
Esbjerg Rådhus,328,18,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,407
Skovbo,370,12,7,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,478
Rørkjær,2428,124,43,39,25,7,1,1,0,0,0,0,0,0,1,1,3,0,4,0,0,0,0,1,0,3,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3026
Jerne,592,17,9,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,755
Boldesager,4784,368,63,53,38,9,3,0,1,0,0,0,0,0,0,1,1,0,10,5,0,0,0,1,2,0,0,0,0,0,2,..,..,..,..,..,..,..,..,..,6111
Østerbyen,660,23,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,809
Gjesing,588,19,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,712
Sædding,335,23,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,418
Kvaglund,2235,134,29,28,25,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2827
Ådalen,393,12,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,478
Grønlandsparken,38164,2637,526,468,365,29,5,17,1,0,3,5,1,0,9,4,29,0,58,22,4,4,1,6,14,5,0,0,0,2,0,34,3,0,0,7,18,0,6,0,48247
Nordby,7827,608,141,130,101,9,0,5,0,0,2,1,0,0,0,0,12,0,11,3,1,1,0,0,5,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,10273
Sønderho,1621,104,28,26,17,4,0,1,1,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,2220
5. ESBJERG OMEGN,2772,154,35,31,25,1,0,2,0,0,0,2,0,0,1,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3483
Skads,3493,184,50,44,32,3,1,4,0,0,0,0,0,0,0,0,4,0,6,2,1,1,0,2,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4647
Bryndum,3822,301,55,49,40,4,0,1,0,0,0,0,0,0,0,0,4,0,6,3,0,0,1,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4775
Hjerting,2746,142,38,31,22,0,2,1,0,0,1,0,1,0,0,1,3,0,7,1,0,1,0,2,1,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3573
Guldager,2620,184,23,17,15,0,0,0,0,0,0,1,0,0,0,1,0,0,6,2,1,1,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3129
Tjæreborg,4536,260,50,47,28,7,1,1,0,0,0,1,0,0,6,0,3,0,3,1,0,0,0,0,0,1,0,0,0,1,0,..,..,..,..,..,..,..,..,..,5371
Sønderris,1999,150,25,21,19,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2755
Bramming,1994,117,18,17,15,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2488
Ribe,2423,149,42,38,35,0,1,0,0,0,0,0,0,0,0,1,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2898
Egebæk-Hviding,2061,251,19,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2359
Gredstedbro,250,33,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,276
Mandø,33829,1946,387,355,283,27,0,16,1,0,4,4,0,0,2,1,15,2,32,13,1,1,0,5,8,0,1,0,0,3,0,29,0,0,0,9,14,0,6,0,40281
Høm,1370,69,18,17,14,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1588
Gørding,2117,113,23,20,19,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2493
6. VARDE,4994,413,35,30,19,6,0,1,0,0,0,1,0,0,1,0,1,1,5,1,0,0,0,1,1,0,0,0,0,2,0,..,..,..,..,..,..,..,..,..,5773
Varde By,943,42,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1073
Sig,2206,93,15,14,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2561
Billum,2453,124,24,22,19,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2841
Tinghøj,6489,377,100,97,76,13,0,6,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,7899
Alslev,7217,519,77,67,52,2,0,4,0,0,0,0,0,0,0,0,8,1,10,2,0,0,0,3,4,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,8640
Janderup,1257,45,16,15,12,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,..,..,..,..,..,1478
Lunde,1666,52,34,32,29,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2040
Nørre Nebel,21,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,29
Henne,930,32,10,10,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1161
Outrup,2166,67,28,28,22,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2705
Oksbøl,30444,1658,353,320,275,9,0,16,2,0,1,4,1,0,6,0,6,0,33,11,1,4,1,0,8,5,0,0,0,3,0,13,0,0,0,0,13,0,0,0,36589
Blåvand,8639,726,101,83,69,2,0,6,1,0,1,0,1,0,0,0,3,0,18,6,1,2,0,0,5,1,0,0,0,3,0,..,..,..,..,..,..,..,..,..,10780
Årre,756,29,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,849
Agerbæk,516,27,5,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,581
Fåborg,536,25,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,635
Næsbjerg,983,33,12,12,9,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1133
Starup,695,24,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,801
Nordenskov,820,25,12,11,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,962
Ølgod,763,21,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,938
Tistrup,1411,80,17,17,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1709
Ansager,501,17,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,588
Skovlund,948,32,17,17,14,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1136
7. VEJEN,2358,125,36,34,31,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,2791
Billund,392,37,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,463
Sdr. Omme,759,41,12,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,873
Vorbasse,1043,49,5,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,1216
Filskov,398,13,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,465
