,,1701246,Korsør Søndre Bydel,4833
,,1701247,Korsør Nordre Bydel,4082
,,1701248,Tårnborg,1590
,,1701249,Vemmelev,2205
,,1701250,Søndermark,3951
,,1701251,Rude,1180
,,1701252,Skælskør Vest,2360
,,1701253,Agersø,141
,,1701254,Boeslunde,903
,,1701255,Eggeslevmagle,272
,,1701256,Skælskør Øst,1757
,,1701257,Magleby,319
,,1701258,Omø,125
,,1701259,Tjæreby,441
,,1701260,Slagelse Hallen,4063
,,1701261,Antvorskov,3448
,,1701262,Vesthallen,4229
,,1701263,Nordhallen,4726
,,1701264,Vestermose,881
,,1701265,Stillinge,1863
,,1701266,Havrebjerg,382
,,15,FYNS STORKREDS,312542
,,60,1. ODENSE ØST,42779
,,1701267,Skt. Jørgens Hallen,7770
,,1701268,Sct. Hans Skole,7010
,,1701269,Risingskolen,2450
,,1701270,Munkebjergskolen,6561
,,1701271,Ejerslykkeskolen,4299
,,1701272,Agedrup Skole,1921
,,1701273,Fjordager-Hallen,3733
,,1701274,Fraugde Fritidscenter,2128
,,1701275,Camp U,3999
,,1701276,UngOdense (Tidl.Bækholmskolen),2908
,,61,2. ODENSE VEST,37542
,,1701277,Seniorhus Odense,7978
,,1701278,CSV-Skolen,5713
,,1701279,Lumby Skole,763
,,1701280,Stige Skole,4203
,,1701281,Spurvelundskolen,2658
,,1701282,Kroggårdsskolen,4234
,,1701283,Tarup Skole,3943
,,1701284,Paarup Hallen,3141
,,1701285,Korup Skole,3030
,,1701286,Ubberud Kultur & Bevægelseshus,1879
,,62,3. ODENSE SYD,44895
,,1701287,Rådhuset,8643
,,1701288,Sct. Knuds Gymnasium,3791
,,1701289,Rosengårdskolen,5449
,,1701290,Sanderumhallen,7162
,,1701291,Rasmus Rask-Skolen,3493
,,1701292,Tingløkkeskolen,4162
,,1701293,Dalumskolen,5766
,,1701294,Skt. Klemensskolen,2306
,,1701295,Fangel Forsamlingshus,633
,,1701296,Højby Skole,3490
,,63,4. ASSENS,25960
,,1701297,Assens,4354
,,1701298,Ebberup,1102
,,1701299,Turup,538
,,1701300,Salbrovad,572
,,1701301,Helnæs,170
,,1701302,Køng,636
,,1701303,Glamsbjerg,1710
,,1701304,Flemløse,644
,,1701305,Søllested,311
,,1701306,Ørsted,343
,,1701307,Dreslette,567
,,1701308,Haarby,2107
,,1701309,Jordløse,444
,,1701310,Brylle,1135
,,1701311,Tommerup,1236
,,1701312,Tommerup St,1611
,,1701313,Verninge,713
,,1701314,Nårup,310
,,1701315,Vissenbjerg,3850
,,1701316,Aarup,2146
,,1701317,Kerte,445
,,1701318,Orte,537
,,1701319,Rørup,479
,,64,5. MIDDELFART,43462
,,1701320,Middelfart V,4450
,,1701321,Middelfart Ø,4596
,,1701322,Strib,3109
,,1701323,Hyllehøj,1886
,,1701324,Aulby,1033
,,1701325,Nørre Aaby,2307
,,1701326,Baaring,1295
,,1701327,Ejby,1831
,,1701328,Gelsted,1699
,,1701329,Brenderup,1649
,,1701330,Fjelsted/Harndrup,1005
,,1701331,Bogense,2721
,,1701332,Klinte,590
,,1701333,Kongslund,1017
,,1701334,Horsebæk,794
,,1701335,Krogsbølle,1344
,,1701336,Otterup,3308
,,1701337,Løkkemark,784
,,1701338,Skovløkke,826
,,1701339,Veflinge,902
,,1701340,Hårslev,819
,,1701341,Morud,1891
,,1701342,Særslev,939
,,1701343,Søndersø,2667
,,65,6. NYBORG,35546
,,1701344,Mesinge,1404
,,1701345,Kerteminde 1,4499
,,1701346,Nymarken,1500
,,1701347,Marslev,1343
,,1701348,Langeskov,2847
,,1701349,Munkebo,3674
,,1701350,Aunslevhallen,1142
,,1701351,Nyborghallen,5655
,,1701352,Bastionen,4339
,,1701353,Vindinge Forsamlingshus,1515
,,1701354,"Langå, Svindinge Og Øksendrup",675
,,1701355,Ullerslev,1900
,,1701356,Ellinge,335
,,1701357,Skellerup,404
,,1701358,Langtved,621
,,1701359,Ørbæk,1196
,,1701360,Frørup Og Tårup,944
,,1701361,Ellested Og Herrested,799
,,1701362,Kullerup Og Refsvindinge,754
,,66,7. SVENDBORG,45713
,,1701363,Byen,9152
,,1701364,Nordre,2095
,,1701365,Østre,4142
,,1701366,Bregninge,2830
,,1701367,Drejø,59
,,1701368,Egense,1792
,,1701369,Bjerreby/Landet,1397
,,1701370,Skårup,1791
,,1701371,Thurø,2555
,,1701372,Tved,1877
,,1701373,Kirkeby,899
,,1701374,Ollerup,1448
,,1701375,Stenstrup,1656
,,1701376,V.Skerninge,1867
,,1701377,Gudbjerg,818
,,1701378,Gudme,1007
,,1701379,Hesselager,916
,,1701380,Oure,1205
,,1701381,Bagenkop,603
,,1701382,Humble,1069
,,1701383,Lindelse,718
,,1701384,Rudkøbing,3368
,,1701385,Strynø,126
,,1701386,Tullebølle,1163
,,1701387,Lejbølle,420
,,1701388,Hou,740
,,67,8. FAABORG,36645
,,1701389,Allested-Vejle,1069
,,1701390,Brobyværk,831
,,1701391,Nørre Broby,1291
,,1701392,Vester Hæsinge,650
,,1701393,Avernakø,77
,,1701394,Faaborg,5283
,,1701395,Horne,1333
,,1701396,Korinth,1249
