navn,nummer,dagi_id
Ellebækskolen - Kildemark,22,706454
Arena Næstved,23,701858
Kobberbakkeskolen - Sct. Jørgen,24,706430
Ellebækskolen - Kalbyris,25,706460
Lille Næstved Skole - Herlufsholmvej,26,712204
Herlufsholmhallen,27,711136
Kobberbakkeskolen - Sydby,28,711142
Kobberbakkeskolen - Rønnebæk,29,706418
Lille Næstved Skole - Hyllinge,31,706398
Lille Næstved Skole - Karrebæk,32,703592
Byen,1,709646
Østerbro,2,703554
Lindeskov,3,706380
Ejegod,4,706386
Kraghave,5,712124
Toreby,6,701778
Sundby,7,701828
Nysted,8,712080
Øster Ulslev,9,705042
Nørre Alslev,10,701748
Nørre Vedby,11,711018
Eskilstrup,12,712156
Sakskøbing,13,707852
Majbølle,14,709572
Våbensted,15,709670
Stubbekøbing,16,703496
Horreby,17,709640
Idestrup,18,703548
Væggerløse,19,701764
Gedser,20,705108
Vordingborg,1,711010
Masnedsund,2,706314
Nyråd,3,705084
Kastrup,4,705078
Bårse,5,709558
Lundby,6,705010
Ørslev,7,709584
Stege,8,707768
Østmøn,9,712094
Vestmøn,10,701698
Bogø,11,701742
Præstø,12,706306
Allerslev,13,701732
Jungshoved,14,703480
Mern,15,707828
Kalvehave,16,705054
Stensved,17,706330
Allinge,1,703208
Østermarie,2,707574
Svaneke,3,703086
Nexø,4,703286
Pedersker,5,709262
Aakirkeby,6,704742
Klemensker,7,712002
Rønne,8,711102
Hasle,9,707890
Middelfart V,1,706714
Middelfart Ø,2,708394
Strib,3,703828
Hyllehøj,4,705440
Aulby,5,706728
Nørre Aaby,6,709862
Baaring,7,711266
Ejby,8,705422
Gelsted,9,708388
Brenderup,10,700808
Fjelsted/Harndrup,11,705434
Christiansø,1,702974
Assens,1,710764
Ebberup,2,709318
Turup,3,711914
Salbrovad,4,709286
Aarup/Kerte,5,748073
Rørup,6,748071
Orte/Ørsted,7,710796
Glamsbjerg/Søllested,8,704912
Flemløse,9,701534
Køng,10,748072
Vissenbjerg,11,748070
Dreslette/Helnæs,12,701526
Haarby,13,707710
Jordløse,14,711908
Brylle,15,701552
Tommerup,16,710784
Tommerup St,17,704924
Verninge/Nårup,18,707704
Allested-Vejle,1,709036
Brobyværk,2,707478
Nørre Broby,3,707442
Vester Hæsinge,4,704606
Avernakø,5,711756
Faaborg,7,701392
Horne,8,710612
Korinth,9,709008
Lyø,10,704544
Svanninge,11,704554
Vester Aaby,12,708944
Espe,13,709014
Hillerslev,14,703044
Ringe,15,711798
Søllinge,16,710674
Gislev,17,704576
Kværndrup,18,704582
Ryslinge,19,701422
Nr. Lyndelse,20,707460
Ferritslev,21,707454
Årslev,22,706054
Mesinge,1,712260
Kerteminde 1,2,706574
Nymarken,4,705322
Marslev,5,705316
Langeskov,6,707976
Munkebo,7,705226
Aunslevhallen,1,705368
Nyborghallen,2,703754
Bastionen,3,706634
Vindinge Forsamlingshus,4,705374
"Langå, Svindinge Og Øksendrup",5,709812
Ullerslev,6,708334
Ellinge,7,701998
Skellerup,8,703760
Langtved,9,708340
Ørbæk,10,708346
Frørup Og Tårup,11,705380
Ellested Og Herrested,12,702004
Kullerup Og Refsvindinge,13,706642
Skt. Jørgens Hallen,1,746369
Sct. Hans Skole,2,707258
Risingskolen,3,705850
Munkebjergskolen,4,711668
Ejerslykkeskolen,5,707294
Agedrup Skole,6,705856
Fjordager-Hallen,7,708762
Fraugde Fritidscenter,9,710386
Seniorhus Odense,11,707300
CSV-Skolen,12,708782
Lumby Skole,13,702812
Stige Skole,14,702824
Spurvelundskolen,16,701218
Kroggårdsskolen,17,702818
Tarup Skole,18,701224
Paarup Hallen,19,702830
Korup Skole,20,710430
Ubberud Kultur & Bevægelseshus,21,707308
Rådhuset,23,705888
Sct. Knuds Gymnasium,24,705876
Rosengårdskolen,25,705894
Sanderumhallen,26,711692
Rasmus Rask-Skolen,28,705882
Tingløkkeskolen,29,711698
Dalumskolen,30,702866
Skt. Klemensskolen,31,708794
Fangel Forsamlingshus,32,708800
Højby Skole,33,711704
Camp U,35,711662
UngOdense (Tidl.Bækholmskolen),36,705862
Byen,1,705276
Nordre,2,701944
Østre,3,705356
Bjerreby,4,748110
Bregninge,5,707990
Drejø,6,703708
Egense,7,705328
Landet,8,705344
Skårup,9,703734
Thurø,10,709768
Tved,11,703728
Kirkeby,14,709774
Ollerup,16,706616
Stenstrup,17,701964
V.Skerninge,19,708006
Gudbjerg,21,705350
Gudme,23,709786
Hesselager,25,712298
